expName,subject,condition,abs_td_dist,bias_to_distr_corr,is_outlier
Fischer_Whitney_2014b,1,orientation,17.0,1.2667544492433649,0
Fischer_Whitney_2014b,1,orientation,19.0,9.321504440858135,0
Fischer_Whitney_2014b,1,orientation,71.0,2.847220681605066,0
Fischer_Whitney_2014b,1,orientation,1.0,-4.846628062657345,0
Fischer_Whitney_2014b,1,orientation,68.0,-3.66983856213686,0
Fischer_Whitney_2014b,1,orientation,24.0,6.101543057996736,0
Fischer_Whitney_2014b,1,orientation,86.0,-4.01581967947466,0
Fischer_Whitney_2014b,1,orientation,16.0,-8.636538449760494,0
Fischer_Whitney_2014b,1,orientation,53.0,3.062546427637784,0
Fischer_Whitney_2014b,1,orientation,5.0,2.4090215401975286,0
Fischer_Whitney_2014b,1,orientation,16.0,5.454709090373214,0
Fischer_Whitney_2014b,1,orientation,86.0,2.219723060434319,0
Fischer_Whitney_2014b,1,orientation,50.0,0.7617615676669516,0
Fischer_Whitney_2014b,1,orientation,54.0,-0.5250637088900447,0
Fischer_Whitney_2014b,1,orientation,26.0,-7.156818194726284,0
Fischer_Whitney_2014b,1,orientation,50.0,7.84593076993221,0
Fischer_Whitney_2014b,1,orientation,40.0,-5.589515517984395,0
Fischer_Whitney_2014b,1,orientation,29.0,-2.766524282058043,0
Fischer_Whitney_2014b,1,orientation,64.0,1.846790271996852,0
Fischer_Whitney_2014b,1,orientation,44.0,-2.704530334067229,0
Fischer_Whitney_2014b,1,orientation,86.0,3.8723063860250875,0
Fischer_Whitney_2014b,1,orientation,38.0,13.116968692050563,0
Fischer_Whitney_2014b,1,orientation,31.0,3.6609233607902496,0
Fischer_Whitney_2014b,1,orientation,62.0,-7.715874346963787,0
Fischer_Whitney_2014b,1,orientation,8.0,0.9132543396844284,0
Fischer_Whitney_2014b,1,orientation,37.0,2.049711534272177,0
Fischer_Whitney_2014b,1,orientation,84.0,-4.847220681605066,0
Fischer_Whitney_2014b,1,orientation,23.0,-2.549090278503712,0
Fischer_Whitney_2014b,1,orientation,38.0,17.033449853399134,0
Fischer_Whitney_2014b,1,orientation,61.0,9.07171794238576,0
Fischer_Whitney_2014b,1,orientation,64.0,-2.6656035355577643,0
Fischer_Whitney_2014b,1,orientation,23.0,20.086745660315586,0
Fischer_Whitney_2014b,1,orientation,55.0,1.8959145771538033,0
Fischer_Whitney_2014b,1,orientation,51.0,5.670830867636852,0
Fischer_Whitney_2014b,1,orientation,64.0,4.1662333933713995,0
Fischer_Whitney_2014b,1,orientation,76.0,5.284125653036213,0
Fischer_Whitney_2014b,1,orientation,88.0,-7.051656686252201,0
Fischer_Whitney_2014b,1,orientation,32.0,-3.801970031287567,0
Fischer_Whitney_2014b,1,orientation,52.0,-4.535386653895529,0
Fischer_Whitney_2014b,1,orientation,52.0,1.7766693962222178,0
Fischer_Whitney_2014b,1,orientation,59.0,14.04294302195214,0
Fischer_Whitney_2014b,1,orientation,78.0,-2.866130004263482,0
Fischer_Whitney_2014b,1,orientation,82.0,-1.684707453958481,0
Fischer_Whitney_2014b,1,orientation,5.0,0.6110822767342228,0
Fischer_Whitney_2014b,1,orientation,22.0,9.221837902263673,0
Fischer_Whitney_2014b,1,orientation,80.0,-2.3664404593909154,0
Fischer_Whitney_2014b,1,orientation,44.0,7.5667638428312785,0
Fischer_Whitney_2014b,1,orientation,1.0,-8.360615976433209,0
Fischer_Whitney_2014b,1,orientation,12.0,-1.8017032849906656,0
Fischer_Whitney_2014b,1,orientation,82.0,-12.033396275809949,0
Fischer_Whitney_2014b,1,orientation,45.0,9.410484482015605,0
Fischer_Whitney_2014b,1,orientation,20.0,6.031094816785128,0
Fischer_Whitney_2014b,1,orientation,21.0,4.921552487040799,0
Fischer_Whitney_2014b,1,orientation,48.0,15.012189134041236,0
Fischer_Whitney_2014b,1,orientation,25.0,1.780276939565681,0
Fischer_Whitney_2014b,1,orientation,67.0,-4.780994580509642,0
Fischer_Whitney_2014b,1,orientation,54.0,4.09922369291067,0
Fischer_Whitney_2014b,1,orientation,28.0,16.049711534272177,0
Fischer_Whitney_2014b,1,orientation,44.0,7.092128883632753,0
Fischer_Whitney_2014b,1,orientation,35.0,8.973811241701142,0
Fischer_Whitney_2014b,1,orientation,33.0,18.837232195521736,0
Fischer_Whitney_2014b,1,orientation,22.0,5.599688931857017,0
Fischer_Whitney_2014b,1,orientation,54.0,0.21384986830260289,0
Fischer_Whitney_2014b,1,orientation,35.0,27.192341607125144,0
Fischer_Whitney_2014b,1,orientation,76.0,4.679166522393771,0
Fischer_Whitney_2014b,1,orientation,13.0,-1.9130156940719303,0
Fischer_Whitney_2014b,1,orientation,54.0,-6.042943021952141,0
Fischer_Whitney_2014b,1,orientation,15.0,15.61358381138848,0
Fischer_Whitney_2014b,1,orientation,27.0,16.726558797387924,0
Fischer_Whitney_2014b,1,orientation,49.0,8.050657147173183,0
Fischer_Whitney_2014b,1,orientation,42.0,-6.0131063867350605,0
Fischer_Whitney_2014b,1,orientation,23.0,2.837232195521736,0
Fischer_Whitney_2014b,1,orientation,82.0,5.390986466706622,0
Fischer_Whitney_2014b,1,orientation,43.0,11.821841154877532,0
Fischer_Whitney_2014b,1,orientation,16.0,8.355147504369839,0
Fischer_Whitney_2014b,1,orientation,76.0,10.050657147173183,0
Fischer_Whitney_2014b,1,orientation,72.0,0.846628062657345,0
Fischer_Whitney_2014b,1,orientation,51.0,7.5814619125481215,0
Fischer_Whitney_2014b,1,orientation,69.0,-7.0045118526723655,0
Fischer_Whitney_2014b,1,orientation,36.0,-11.244510237998355,0
Fischer_Whitney_2014b,1,orientation,56.0,-3.429714670677825,0
Fischer_Whitney_2014b,1,orientation,32.0,5.321504440858135,0
Fischer_Whitney_2014b,1,orientation,68.0,6.651308272110256,0
Fischer_Whitney_2014b,1,orientation,86.0,-9.45761918448028,0
Fischer_Whitney_2014b,1,orientation,67.0,-0.6735157675896062,0
Fischer_Whitney_2014b,1,orientation,81.0,-4.621276177859073,0
Fischer_Whitney_2014b,1,orientation,28.0,14.051656686252201,0
Fischer_Whitney_2014b,1,orientation,8.0,13.133245776578121,0
Fischer_Whitney_2014b,1,orientation,1.0,12.588758297329477,0
Fischer_Whitney_2014b,1,orientation,71.0,4.561044735334548,0
Fischer_Whitney_2014b,1,orientation,33.0,-3.819117516415247,0
Fischer_Whitney_2014b,1,orientation,29.0,17.4349488675943,0
Fischer_Whitney_2014b,1,orientation,65.0,0.950288465727823,0
Fischer_Whitney_2014b,1,orientation,82.0,4.198296715009334,0
Fischer_Whitney_2014b,1,orientation,40.0,9.162767804478264,0
Fischer_Whitney_2014b,1,orientation,70.0,-16.012189134041236,0
Fischer_Whitney_2014b,1,orientation,10.0,7.1962838921539145,0
Fischer_Whitney_2014b,1,orientation,83.0,3.0047993146151413,0
Fischer_Whitney_2014b,1,orientation,83.0,-6.7357944569988035,0
Fischer_Whitney_2014b,1,orientation,21.0,4.843181805273716,0
Fischer_Whitney_2014b,1,orientation,42.0,-5.121248846610342,0
Fischer_Whitney_2014b,1,orientation,79.0,-8.834023654974274,0
Fischer_Whitney_2014b,1,orientation,40.0,14.153209728003148,0
Fischer_Whitney_2014b,1,orientation,20.0,3.177693648892628,0
Fischer_Whitney_2014b,1,orientation,57.0,3.8431818052737157,0
