expName,subject_exp,noise,cue_n_label,abs_td_dist,bias_to_distr_corr,is_outlier
color_2,S10.color.2,low - high,First report,142.17,-11.8343430769168,0.0
color_2,S10.color.2,high - low,First report,32.59,48.3773316645596,1.0
color_2,S10.color.2,high - high,First report,80.5800000000001,29.314012775926,0.0
color_2,S10.color.2,low - high,First report,52.0,18.9994393274334,0.0
color_2,S10.color.2,low - high,First report,108.3,-15.4352401439653,0.0
color_2,S10.color.2,high - high,First report,110.99,-1.48989343736165,0.0
color_2,S10.color.2,high - high,First report,74.07,-15.4305256904687,0.0
color_2,S10.color.2,low - high,First report,137.07,-10.8824336307337,0.0
color_2,S10.color.2,low - high,First report,73.63,-12.2702943823352,0.0
color_2,S10.color.2,low - low,First report,33.84,2.45024679373714,0.0
color_2,S10.color.2,low - low,First report,178.59,21.683381139278,0.0
color_2,S10.color.2,high - low,First report,87.52,8.23247109660185,0.0
color_2,S10.color.2,low - low,First report,28.36,-3.86531081375013,0.0
color_2,S10.color.2,low - high,First report,29.54,1.7042435704111,0.0
color_2,S10.color.2,high - high,First report,168.5,-17.1371748816859,0.0
color_2,S10.color.2,low - low,First report,143.76,-1.02198831180054,0.0
color_2,S10.color.2,high - low,First report,7.61000000000001,-29.2057464747304,0.0
color_2,S10.color.2,high - low,First report,84.61,14.8717088910646,0.0
color_2,S10.color.2,low - high,First report,103.49,2.04088865578186,0.0
color_2,S10.color.2,high - low,First report,108.88,-10.3739597407839,0.0
color_2,S10.color.2,high - high,First report,32.24,-15.2994336612473,0.0
color_2,S10.color.2,low - high,First report,93.8299999999999,-4.05755159428587,0.0
color_2,S10.color.2,low - low,First report,83.36,3.10402936979051,0.0
color_2,S10.color.2,high - high,First report,129.59,-9.063510028074,0.0
color_2,S10.color.2,low - low,First report,164.57,24.9514090421349,0.0
color_2,S10.color.2,low - high,First report,15.74,-5.33916546564348,0.0
color_2,S10.color.2,high - high,First report,125.58,4.88771579511587,0.0
color_2,S10.color.2,high - low,First report,74.66,13.9128946404721,0.0
color_2,S10.color.2,low - high,First report,129.8,-10.6366061476914,0.0
color_2,S10.color.2,high - high,First report,93.05,-1.55899920178309,0.0
