machine_id,instance_id,gpu,price_per_hour,storage_rate_per_hour,all_in_hourly,expected_sph,real_sph,manifest_count,surface_count,timed_surface_count,span_hours,first_manifest_at,last_manifest_at,cost_per_1000_projected,projected_full_cost,expected_full_cost,real_over_expected_cost,surfaces_per_dollar,billed_cost,billed_cost_per_1000_completed
38239547-gpu0,38239547,A100_SXM4,0.7444,0.0306,0.7749999999999999,884.0,610.9190729171694,27,1180,1130,1.8496721580555555,2026-05-28T12:32:29.541920+00:00,2026-05-28T14:23:28.361689+00:00,1.2685804623832349,41.609439166170105,28.75565610859728,1.447000166124877,788.2826747318315,,
38239804-gpu0,38239804,RTX_3090,0.55,0.0306,0.5806,756.0,642.7267021961569,51,2240,2190,3.407358045833333,2026-05-28T12:32:58.225865+00:00,2026-05-28T15:57:24.714830+00:00,0.9033388499592848,29.629514278664537,25.19005291005291,1.1762386678767125,1107.0043096730226,2.027,0.9049107142857143
38240079-gpu0,38240079,RTX_3090,0.4867,0.0306,0.5173,756.0,583.4901435768469,49,1953,1903,3.261408990277778,2026-05-28T12:41:30.185926+00:00,2026-05-28T15:57:11.258291+00:00,0.8865616766530187,29.079222994219013,22.4437037037037,1.2956517060693642,1127.95310956282,1.708,0.8745519713261649
38245048-gpu0,38245048,RTX_3090,0.4756,0.0306,0.5062,756.0,643.2041292072795,39,1695,1655,2.5730556208333333,2026-05-28T13:23:08.516419+00:00,2026-05-28T15:57:31.516654+00:00,0.7869974352059416,25.813515874754884,21.962116402116404,1.1753655887311178,1270.6521714881064,1.311,0.7734513274336283
38247514-gpu0,38247514,RTX_3090,0.4167,0.0306,0.4473,756.0,721.171019495148,36,1620,1570,2.177014823888889,2026-05-28T13:43:39.792583+00:00,2026-05-28T15:54:17.045949+00:00,0.6202412297614649,20.34391233617605,19.406666666666663,1.0482950362165604,1612.2759210712004,0.968,0.5975308641975309
38247630-gpu0,38247630,RTX_3090,0.4378,0.0306,0.4684,756.0,673.0459874650642,11,505,455,0.6760310713888888,2026-05-28T13:41:18.972842+00:00,2026-05-28T14:21:52.684699+00:00,0.6959405578869353,22.82685029869148,20.322116402116404,1.1232516263076924,1436.9043284907432,,
38247801-gpu0,38247801,RTX_3090,0.5556,0.0306,0.5861999999999999,756.0,789.5409912267116,45,1790,1740,2.203812112777777,2026-05-28T13:45:13.303437+00:00,2026-05-28T15:57:27.027043+00:00,0.7424567014427201,24.352579807321217,25.43301587301587,0.9575183662413792,1346.879889503091,1.335,0.7458100558659218
38248885-gpu0,38248885,RTX_3090,0.5444,0.0306,0.575,756.0,500.0456422608918,26,1047,997,1.9938179952777777,2026-05-28T13:57:27.999535+00:00,2026-05-28T15:57:05.744318+00:00,1.1498950323818675,37.71655706212526,24.947089947089943,1.5118619904012034,869.6445952363337,1.221,1.166189111747851
38249565-gpu0,38249565,RTX_3090,0.35,0.0306,0.3806,756.0,525.904114049414,23,1010,960,1.8254278191666669,2026-05-28T14:03:50.170787+00:00,2026-05-28T15:53:21.710936+00:00,0.7237060708071181,23.73755912247348,16.512804232804232,1.4375244075937503,1381.7764425891069,0.713,0.7059405940594059
38249884-gpu0,38249884,RTX_3090,0.3233,0.0306,0.3539,756.0,545.1444319880261,25,1045,995,1.8252043708333332,2026-05-28T14:03:37.805431+00:00,2026-05-28T15:53:08.541166+00:00,0.6491857556159966,21.293292784204688,15.354391534391535,1.3867884465829146,1540.3911613111786,0.653,0.6248803827751196
